token,category_token,nbr_annotations,first_annotation_token,last_annotation_token
6dd2cbf4c24b4caeb625035869bca7b5,1fa93b757fc74fb197cdd60001ad8abf,39,ef63a697930c4b20a6b9791f423351da,8bb63134d48840aaa2993f490855ff0d
48d58b69b40149aeb2e64aa4b1a9192f,1fa93b757fc74fb197cdd60001ad8abf,30,6b89da9bf1f84fd6a5fbe1c3b236f809,2f69a953ed424deaa2a89ff4cd515c51
bd26c2cdb22d4bb1834e808c89128898,fd69059b62a3469fbaef25340c0eab7f,37,924ee6ac1fed440a9d9e3720aac635a0,e4f4f8403b744d73b118413da45cd265
6e04e175f20d402f8cbbdf701fe99d92,1fa93b757fc74fb197cdd60001ad8abf,25,91e3608f55174a319246f361690906ba,29df0a01c0c749dd939567c22f36996e
4a5a657f59914516bade8551072e5ab0,85abebdccd4d46c7be428af5a6173947,8,cd051723ed9c40f692b9266359f547af,e5adc61e5f88472fbc1869c621ecf258
f4b2632a2f9947da9f7959a3bd0e322c,fc95c87b806f48f8a1faea2dcc2222a4,35,36d52dfedd764b27863375543c965376,92ff17eaebd84b33b671d9fb700c7bb6
c08be936e0394352b11760ede982d6fd,1fa93b757fc74fb197cdd60001ad8abf,27,70af124fceeb433ea73a79537e4bea9e,51c32d7f78e94cfc90eff2540752c65a
1bc410ff237c4c48b9b7b094a9eaeb4d,909f1237d34a49d6bdd27c2fe4581d79,37,803708756a8a4109be4ac17571282e6a,004e27d301fd4c35bd8c7d8a4124fc97
085fb7c411914888907f7198e998a951,fd69059b62a3469fbaef25340c0eab7f,3,63b89fe17f3e41ecbe28337e0e35db8e,0a9fb60a80fe4a7bbb5ff2dbc9bf539b
291e6cccbc254f2ab4eadfe98331dfec,6021b5187b924d64be64a702e5570edf,36,9011c733d2f44658a515c2e01a71bc44,dadd01f36e57408b85b66b0c5bc62874
d7cd73e84d444b98a1923e1bcf433064,dfd26f200ade4d24b540184e16050022,23,965f44a01ec44ce5a79186d12098f33d,bffadf260c9f474eae49d55a29607a3e
c4041d3882c344338031b18ef5484631,1fa93b757fc74fb197cdd60001ad8abf,29,75ac043ddcec4ae0851ddc55dc8daaa3,54910faa69834f99aabef00739e40299
fdd3fe14d1c044b9a9f6c24383c6207c,dfd26f200ade4d24b540184e16050022,35,a351185336694047a16728436ed3dcbc,1077f74706594a9587aa718299137b6a
47bccbb74b1343d58f5c593240d567d7,653f7efbb9514ce7b81d44070d6208c1,36,70edd3ee55104820bd39742543e94a7e,03873626ed7e4cba8b79deeada8128b4
918b55a1bf3e4fe08bf234395a06521c,653f7efbb9514ce7b81d44070d6208c1,18,76986518da114edcb1185c1b100d7987,b862d349851443f2b5c34ad2f925d7b3
1e775890010e4d97b74ca1d06441d023,1fa93b757fc74fb197cdd60001ad8abf,27,546bc3631d3c41fc8fbc5089de1e766e,b58fa964df064f4ab2681e02a311bfaa
99094aeb2f9d4efcbbc66423b5d84e56,653f7efbb9514ce7b81d44070d6208c1,19,3c47e2a4feef48acb64e6faa78413c2b,6cc361fa006248e2a5f3de7e32064bd2
c542c70024df4cf2a02c55a7b16fe3c4,85abebdccd4d46c7be428af5a6173947,24,33beceb4850f461d8931f3922b596ffc,9264c4d60dd24ab6b1d3b2419d90733d
1511e02cbd80490299371149ed7eb269,1fa93b757fc74fb197cdd60001ad8abf,20,3e7ae3277eab49f6bba6a2b720c6a0e9,8089f57cacf6473c88e95fda4e423735
73ee514c205c483da3d1d04282337457,1fa93b757fc74fb197cdd60001ad8abf,28,79f6ef3b2178463785171a1af6cf05b8,8cc68a383a624a728e2d48a3d2ce9cd6
baaaf109a79045f296407049d147004b,85abebdccd4d46c7be428af5a6173947,1,0fdaec54e1f34224bf1e19103dfaf442,0fdaec54e1f34224bf1e19103dfaf442
453c4dbf8ec9428eaae1bc6e0c191c1b,653f7efbb9514ce7b81d44070d6208c1,10,e433787e4f3f4da3a0c3b0ac670c1337,71cc99118f2f481abab548b59009a2ce
5fad73f97d7541dca6c109c1639c8dae,85abebdccd4d46c7be428af5a6173947,8,dc3e8d899aa245a78cfc0132852ece5a,ebc21dc9b54f4b8081c23edee0d50682
7a34fc22f9d645b59d5b6e5c88268008,85abebdccd4d46c7be428af5a6173947,24,f7aa30070516487e85a8f01327c6d50b,a214fd83f6ef4cd8be1e5071129dcbc9
f0056532879643c69e4efc9d845782f0,fc95c87b806f48f8a1faea2dcc2222a4,17,8e8da20205f846f5a55d6e65ad795b56,b0f2b93f2d3844d4aa49054492a4c70d
adfd2ee7c64d4f259206a5a10663904e,85abebdccd4d46c7be428af5a6173947,21,aebbec20129c4336939c95c19f8c89bf,dab791f9b1b54bdd863e5aa5b37f8458
6e04d2d7cbc64b49b4c2028325089e43,85abebdccd4d46c7be428af5a6173947,2,528b738e9f9148c8a4b965c95bcc14b3,56acf88df66045258d5ac3cead0c1b69
bbd6c47a20e34276bc6f2cfbc6ba6205,1fa93b757fc74fb197cdd60001ad8abf,39,e4a3582721c34f528e3367f0bda9485d,f97a9af2e14e4facbe5c07b139793964
03e81d6b45c34d56bc1a886919722f7f,653f7efbb9514ce7b81d44070d6208c1,32,fcb2332977ed4203aa4b7e04a538e309,e4434b8002134bb9809a20b142924897
